Key;PET::GLCM::cm.auto.corr;PET::GLCM::cm.clust.prom;PET::GLCM::cm.clust.shade;PET::GLCM::cm.contrast;PET::GLCM::cm.corr;PET::GLCM::cm.diff.avg;PET::GLCM::cm.diff.entr;PET::GLCM::cm.diff.var;PET::GLCM::cm.dissimilarity;PET::GLCM::cm.energy;PET::GLCM::cm.info.corr.1;PET::GLCM::cm.info.corr.2;PET::GLCM::cm.inv.diff;PET::GLCM::cm.inv.diff.mom;PET::GLCM::cm.inv.diff.mom.norm;PET::GLCM::cm.inv.diff.norm;PET::GLCM::cm.inv.var;PET::GLCM::cm.joint.avg;PET::GLCM::cm.joint.entr;PET::GLCM::cm.joint.max;PET::GLCM::cm.joint.var;PET::GLCM::cm.sum.avg;PET::GLCM::cm.sum.entr;PET::GLCM::cm.sum.var;PET::GLDZM::dzm.gl.var;PET::GLDZM::dzm.glnu;PET::GLDZM::dzm.glnu.norm;PET::GLDZM::dzm.hgze;PET::GLDZM::dzm.lde;PET::GLDZM::dzm.ldhge;PET::GLDZM::dzm.ldlge;PET::GLDZM::dzm.lgze;PET::GLDZM::dzm.sde;PET::GLDZM::dzm.sdhge;PET::GLDZM::dzm.sdlge;PET::GLDZM::dzm.z.perc;PET::GLDZM::dzm.zd.entr;PET::GLDZM::dzm.zd.var;PET::GLDZM::dzm.zdnu;PET::GLDZM::dzm.zdnu.norm;PET::GLRLM::rlm.gl.var;PET::GLRLM::rlm.glnu;PET::GLRLM::rlm.glnu.norm;PET::GLRLM::rlm.hgre;PET::GLRLM::rlm.lgre;PET::GLRLM::rlm.lre;PET::GLRLM::rlm.lrhge;PET::GLRLM::rlm.lrlge;PET::GLRLM::rlm.r.perc;PET::GLRLM::rlm.rl.entr;PET::GLRLM::rlm.rl.var;PET::GLRLM::rlm.rlnu;PET::GLRLM::rlm.rlnu.norm;PET::GLRLM::rlm.sre;PET::GLRLM::rlm.srhge;PET::GLRLM::rlm.srlge;PET::GLSZM::szm.gl.var;PET::GLSZM::szm.glnu;PET::GLSZM::szm.glnu.norm;PET::GLSZM::szm.hgze;PET::GLSZM::szm.lgze;PET::GLSZM::szm.lze;PET::GLSZM::szm.lzhge;PET::GLSZM::szm.lzlge;PET::GLSZM::szm.sze;PET::GLSZM::szm.szhge;PET::GLSZM::szm.szlge;PET::GLSZM::szm.z.perc;PET::GLSZM::szm.zs.entr;PET::GLSZM::szm.zs.var;PET::GLSZM::szm.zsnu;PET::GLSZM::szm.zsnu.norm;PET::Histogram::ih.cov;PET::Histogram::ih.entropy;PET::Histogram::ih.kurt;PET::Histogram::ih.mad;PET::Histogram::ih.max;PET::Histogram::ih.max.grad;PET::Histogram::ih.max.grad.gl;PET::Histogram::ih.mean;PET::Histogram::ih.medad;PET::Histogram::ih.median;PET::Histogram::ih.min;PET::Histogram::ih.min.grad;PET::Histogram::ih.min.grad.gl;PET::Histogram::ih.mode;PET::Histogram::ih.qcod;PET::Histogram::ih.rmad;PET::Histogram::ih.skew;PET::Histogram::ih.uniformity;PET::Histogram::ih.var;PET::IVHistogram::ivh.I10;PET::IVHistogram::ivh.I10minusI90;PET::IVHistogram::ivh.I90;PET::IVHistogram::ivh.V10;PET::IVHistogram::ivh.V10minusV90;PET::IVHistogram::ivh.V90;PET::Intensity::loc.peak.global;PET::Intensity::loc.peak.local;PET::Intensity::stat.P10;PET::Intensity::stat.P90;PET::Intensity::stat.cov;PET::Intensity::stat.energy;PET::Intensity::stat.iqr;PET::Intensity::stat.kurt;PET::Intensity::stat.mad;PET::Intensity::stat.max;PET::Intensity::stat.mean;PET::Intensity::stat.medad;PET::Intensity::stat.median;PET::Intensity::stat.min;PET::Intensity::stat.qcod;PET::Intensity::stat.range;PET::Intensity::stat.rmad;PET::Intensity::stat.rms;PET::Intensity::stat.skew;PET::Intensity::stat.sum;PET::Intensity::stat.var;PET::Morphological::morph.a.dens.aabb;PET::Morphological::morph.approx.vol;PET::Morphological::morph.area;PET::Morphological::morph.asphericity;PET::Morphological::morph.av;PET::Morphological::morph.com;PET::Morphological::morph.comp.1;PET::Morphological::morph.comp.2;PET::Morphological::morph.sph.dispr;PET::Morphological::morph.sphericity;PET::Morphological::morph.v.dens.aabb;PET::Morphological::morph.vol;PET::NGLDM::ngl.dc.dcnu;PET::NGLDM::ngl.dc.dcnu.norm;PET::NGLDM::ngl.dc.energy;PET::NGLDM::ngl.dc.entr;PET::NGLDM::ngl.dc.perc;PET::NGLDM::ngl.dc.var;PET::NGLDM::ngl.gl.var;PET::NGLDM::ngl.glnu;PET::NGLDM::ngl.glnu.norm;PET::NGLDM::ngl.hde;PET::NGLDM::ngl.hdhge;PET::NGLDM::ngl.hdlge;PET::NGLDM::ngl.hgce;PET::NGLDM::ngl.lde;PET::NGLDM::ngl.ldhge;PET::NGLDM::ngl.ldlge;PET::NGLDM::ngl.lgce;PET::NGTDM::ngt.busyness;PET::NGTDM::ngt.coarseness;PET::NGTDM::ngt.contrast;PET::NGTDM::ngt.strength;PET::NGTDM::ntg.complexity
1;648.0774503;450237.1611;5411.754129;28.37735568;0.851069331;3.611739964;3.423556953;15.33269016;3.611739964;0.002936115;-0.202044924;0.936735914;0.374875767;0.294715695;0.995481573;0.957744848;0.288503264;23.81167307;9.341206869;0.011462552;95.27035563;47.62334615;6.134808072;352.7040669;120.9510175;1;0.000886525;899.4632912;10.78102837;15481.13544;0.011018372;0.002274527;0.448484168;216.2213881;0.001605843;0.208041313;10.13955135;3.16479852;254.9574468;0.226026105;96.07946045;13.35750972;0.000189517;857.6320026;0.002021244;1.000170256;857.7798259;0.00202148;0.999943251;12.37757134;5.67E-05;70474.00045;0.999886502;0.999957436;857.5950468;0.002021185;118.7057343;30.64361702;0.027166327;660.1755319;0.007139887;120.4539007;64792.38121;0.352713443;0.427660596;284.5395491;0.003421902;0.208041313;7.975443469;97.34917156;219.3953901;0.194499459;0.422417088;5.179325836;0.796155879;21.57924027;63.46300888;40;23.37325998;22.95905573;7.159996858;26.11045066;5.373260498;-53.5;28.37326199;0.269874066;3.896934411;0.227151955;0.835665861;0.035282232;94.0569736;42.14748179;25.40000038;16.74748141;0.97713021;0.972334932;0.004795278;2.669454944;2.574131927;0.83731854;2.105055332;0.355187139;11625.21023;0.518546224;0.797259984;0.365803199;3.187453747;1.37981546;1.109941393;0.269874066;0.269874066;0.195725015;2.917579681;0.227151955;1.464268269;0.838435925;7481.359422;0.24019086;0.742136267;43376;7172.004887;0.204618679;0.166027599;0.334839957;0.040125872;0.572072697;1.204618679;0.830138215;0.701260823;43197.66667;0;0;0.000189536;12.37717397;1;0.001473293;96.07634121;1.027665068;0.000189536;1.004426411;861.4757872;0.002027338;857.6325995;0.998893397;856.6718026;0.002019675;0.002021208;0.188320262;0.003312445;0.108498197;4.730034818;2878.327683
2;1576.006797;1214805.68;3808.158114;30.24660521;0.922999537;4.152181636;3.582222726;13.0059925;4.152181636;0.001201774;-0.236897907;0.966902882;0.326223349;0.237236115;0.996396603;0.957678177;0.230029012;37.34601349;10.16583358;0.004230362;196.4053462;74.69202699;6.735504258;755.3747796;189.4621096;1.012838802;0.000240808;1497.385225;18.00927247;41042.11229;0.011241126;0.001717471;0.317894594;234.0322148;0.001143574;0.255730528;12.03347802;5.149392191;635.7085117;0.151143251;205.997378;13.61090895;6.37E-05;1578.00264;0.00149838;1.000070157;1578.098217;0.001498445;0.999976615;13.95916981;2.34E-05;213796.0002;0.99995323;0.999982461;1577.978746;0.001498364;187.4331617;83.63956253;0.019885773;1431.882073;0.002123248;57.72776985;81604.76272;0.080832345;0.451335417;613.2799196;0.000958177;0.255730528;8.46482964;42.43680755;904.2563005;0.214991988;0.394927769;5.784248103;-0.830256372;34.28343718;72.70266724;75;23.69104962;36.13546544;12.04500607;34.86988106;1.691046953;-43;58.69104828;0.134630561;6.110141464;0.463397636;0.235373441;0.020132696;203.6585505;57.69203064;37.80000056;19.89203008;0.989846173;0.974949839;0.014896334;3.381126743;3.372600472;0.992746174;2.882925272;0.387480508;64883.31768;1.13871634;-0.830717631;0.607469294;3.637246132;1.852028255;1.767426763;0.084601492;0.084601492;0.305684645;3.55264464;0.463397636;1.986200917;0.236114795;30460.30871;0.514985425;0.721755582;131576;14954.77567;0.196895098;0.113872897;0.463499783;0.040514898;0.583219096;1.196895098;0.835495109;0.668625095;131328.6667;0;0;6.37E-05;13.95900651;1;0.000607644;205.9941638;1.047060254;6.37E-05;1.001824041;1580.482516;0.00150004;1577.997586;0.99954399;1577.376354;0.001497948;0.001498367;0.284716855;0.001910675;0.145736624;3.0202399;3173.700658
3;1133.691702;1472332.393;10170.40907;29.1621948;0.921067984;3.795367801;3.497195151;14.75737777;3.795367801;0.001621796;-0.249399907;0.970765213;0.361259757;0.278391109;0.996548507;0.961431774;0.264764354;31.04098835;10.01637905;0.006177055;184.7298231;62.0819767;6.68775381;709.7570975;203.8669451;1.007889546;0.000248493;1018.544489;21.55596647;41470.91122;0.059349026;0.041474908;0.306371324;115.999994;0.040260582;0.215538314;11.98288336;6.367881647;569.0828402;0.14030642;189.8856659;13.89377966;5.68E-05;1034.815002;0.237802712;1.000012263;1034.821054;0.237802737;0.999995912;14.13297097;4.09E-06;244631;0.999991825;0.999996934;1034.813489;0.237802706;201.3743918;81.617357;0.020122623;1069.458333;0.004033727;118.4674556;117223.7483;0.268837279;0.483024985;506.1694837;0.001844183;0.215538314;8.459582789;96.94206648;945.336785;0.233071199;0.457038506;5.723755029;-0.040493515;28.53625543;70.91805267;92.5;17.91637172;29.98963746;10.65475631;27.11667219;-0.083627306;-95.5;29.91637023;-0.004181716;5.918787398;0.363036209;0.539404334;0.022528388;187.8659248;49.26636641;37.35000056;11.91636586;0.96078223;0.948347327;0.012434903;3.281008331;3.113087063;0.595236838;2.461579084;0.474062548;48682.76884;0.843756914;-0.040903235;0.540203915;3.546200275;1.453382028;1.457563745;-0.004181716;-0.004181716;0.295964202;3.550381992;0.363036209;1.608425328;0.538995267;27349.74301;0.474712715;0.675947;150544;17893.66899;0.309417718;0.119122502;1.310297408;0.035406383;0.445415536;1.309417718;0.763698235;0.517687942;150212.3333;0;0;5.68E-05;14.13294251;1;0.00010627;189.8850802;1.068763949;5.68E-05;1.000318844;1034.97014;0.237802388;1034.812783;0.999920289;1034.773444;0.23780158;0.237801742;0.4074019;0.001441807;0.134084193;2.783199489;3779.357488
4;321.0550923;27236.70452;270.3921477;7.504619191;0.856709763;1.972780156;2.643968749;3.612757677;1.972780156;0.006900886;-0.231152851;0.931577431;0.481082938;0.415204617;0.997362243;0.965209651;0.380011416;17.28064312;7.743022101;0.01694024;26.18677774;34.56128624;5.327742622;97.24249176;35.05033863;1;0.001658375;469.5499575;11.13266998;7391.928736;0.020750585;0.003113926;0.536656072;186.975811;0.002167679;0.072502104;9.236014192;4.100938096;171;0.28358209;27.32820112;13.2650228;0.000122689;486.5881792;0.002667171;1.000055494;486.6087906;0.002667329;0.999981502;13.00168681;1.85E-05;108115.0001;0.999963004;0.999986126;486.5830263;0.002667132;33.96360363;29.70646766;0.049264457;301.4461028;0.008243039;1446.923715;441344.524;5.963219609;0.344961053;94.22896832;0.002935393;0.072502104;7.509303045;1256.685054;83.35489221;0.138233652;0.302912438;4.381389388;-0.073777184;15.86079193;38.33544159;125;14.10692248;16.93230743;4.121844877;20.79524298;5.10692215;-103;28.10692218;0.258297414;3.289660459;0.147334362;0.285641021;0.055679521;26.30670794;28.31594854;13.2500002;15.06594834;0.997835758;0.990260911;0.007574847;1.721783813;1.678061809;0.75178957;1.41389215;0.24393522;10117.34067;0.355648935;-0.070367151;0.209031809;1.938926101;1.071515494;0.813218081;0.258297414;0.258297414;0.166384122;1.680628687;0.147334362;1.10293479;0.287008999;8911.794366;0.068319697;0.793386366;66536;10256.89894;0.294396562;0.15463905;0.375764309;0.036024491;0.461103;1.294396562;0.772560767;0.672970779;66328;0;0;0.000122693;13.00155716;1;0.000480711;27.32787794;1.020440063;0.000122693;1.001442828;487.1219319;0.002671263;486.5860461;0.999639293;486.4520746;0.002666153;0.002667175;0.607083057;0.002357188;0.050163745;0.93705294;451.7149134
5;637.4887416;392470.2036;3037.922145;19.14602977;0.898600828;3.018697836;3.196979474;10.03349335;3.018697836;0.003186412;-0.250309313;0.962958158;0.407292104;0.329939357;0.996578071;0.962312829;0.309457176;23.5085637;9.161432696;0.014120112;94.40920174;47.0171274;6.200284842;358.4907772;121.8801983;1.005424955;0.000909064;834.1736107;15.03616637;20134.49595;0.017532845;0.002875356;0.320617958;120.4538506;0.0018169;0.147900508;10.10932735;3.71105494;187.3670886;0.169409664;98.15419889;13.48058267;0.000138679;762.5999154;0.002664802;1.000216034;762.824918;0.00266505;0.999927994;12.83176455;7.20E-05;97193.00101;0.999855988;0.999945992;762.5436648;0.00266474;118.6908298;29.05244123;0.02626803;673.1528029;0.007087419;433.5045208;229427.2703;1.259758175;0.430925534;280.6327308;0.004252786;0.147900508;7.95492885;387.7893257;220.7287523;0.199573917;0.430711804;5.225860791;0.111833545;21.37294501;57.91819763;73;22.7590954;22.66180794;7.544521055;24.67043146;3.759095669;-85.5;25.75909458;0.189461976;4.660085485;0.255314169;0.49479237;0.032307624;95.27142425;39.68924;27.0500004;12.6392396;0.972051351;0.964027815;0.008023536;2.579280575;2.489270036;0.629648685;1.981603146;0.384339461;14257.18122;0.59937185;0.117674274;0.382876462;2.919131994;1.288862925;1.099400949;0.189461976;0.189461976;0.234872718;2.729670018;0.255314169;1.380778781;0.498975803;9638.116955;0.245382403;0.729481019;59824;8730.428831;0.182857761;0.146422286;0.621183604;0.041238237;0.604230201;1.182857761;0.845410186;0.669522548;59625;0;0;0.000138697;12.83126104;1;0.001868653;98.15295833;1.037175715;0.000138697;1.005616475;768.4696405;0.002671135;762.6199946;0.998595881;761.1575832;0.002663083;0.002664693;0.195211984;0.004019564;0.080065533;4.461551699;1524.558111
6;618.606577;364976.9313;4682.685323;20.07316861;0.871775402;3.19155575;3.265774469;9.887140573;3.19155575;0.003511321;-0.211784185;0.939653697;0.390146665;0.309901248;0.997062436;0.963770712;0.29355961;23.45995939;9.056351383;0.014676892;78.2734709;46.91991877;6.015492287;293.020715;129.9024462;1.003499563;0.000877952;1001.334291;10.92300962;17286.8246;0.009807435;0.001817142;0.403594202;203.9362722;0.001180573;0.178845251;10.15860969;2.98175742;231.127734;0.202211491;79.89085629;13.60571484;0.000163762;871.3299385;0.001711451;1.000036109;871.4089723;0.001711468;0.999987964;12.59625607;1.20E-05;83080.00002;0.999975928;0.999990973;871.31018;0.001711447;127.1137273;32.60979878;0.028530008;701.6867892;0.004900626;275.6229221;125534.2861;0.71797494;0.413291149;313.1795657;0.001581455;0.178845251;7.970031252;244.3588809;215.6701662;0.188687809;0.391199204;5.052486933;1.437424513;21.1812202;68.35556793;66;20.22076082;22.58785779;6.575100431;26.19698597;6.220760822;-63;26.22076185;0.313148707;3.694887266;0.219229801;0.965279364;0.038509623;78.08111653;40.56297456;22.30000033;18.26297423;0.987482397;0.984509466;0.002972931;2.765955254;2.709442553;0.91214937;2.02580452;0.317720395;13921.92778;0.513890624;1.43113302;0.340238485;3.440970898;1.406637597;1.09348889;0.313148707;0.313148707;0.185998012;3.127822191;0.219229801;1.475928366;0.965249553;8989.820885;0.19973521;0.751421117;51128;8319.734604;0.252094802;0.163353058;0.793745501;0.037865444;0.509434511;1.252094802;0.79866157;0.663164062;50931;0;0;0.000163766;12.59617202;1;0.000312842;79.8940816;1.046628071;0.000163766;1.00093882;873.4006461;0.001711865;871.3457902;0.999765295;870.8320762;0.001711329;0.001711436;0.145100497;0.003471666;0.057277995;6.787459569;2604.206652
7;734.8899448;250342.055;752.4656725;18.51420542;0.879018863;3.145359321;3.236933476;8.620920419;3.145359321;0.003001248;-0.221498495;0.947066372;0.387175995;0.305361531;0.99638577;0.959002122;0.289359069;25.83854013;9.122980195;0.013182193;76.51690934;51.67708025;6.082537162;287.5534319;95.50164162;1.001870907;0.000937204;663.4899515;9.462114125;10968.14492;0.014040645;0.003981965;0.463476836;176.5460863;0.003023693;0.176723425;10.06204614;2.771979443;251.8231993;0.235568942;81.79855745;13.46373162;0.000171216;785.8767366;0.002608417;1.00003815;785.9059933;0.002608467;0.999987283;12.52706734;1.27E-05;78634.00003;0.999974567;0.999990462;785.8694224;0.002608405;92.30123357;32.04209542;0.029973897;590.1880262;0.006263343;197.3517306;142791.0103;0.375751324;0.428871246;224.5197334;0.003397615;0.176723425;7.777998182;165.3324351;214.9738073;0.201098042;0.356706718;5.148487646;0.017684695;23.65459493;53.33559418;41;22.18281294;24.98131926;6.88464965;26.16538844;2.182813883;-67.5;28.18281309;0.109980851;3.906420439;0.228288243;0.131607931;0.034396644;79.4059996;38.54961754;24.25000036;14.29961718;0.987766573;0.976525045;0.011241528;2.418808326;2.198426564;0.714707434;1.925191402;0.340846959;11884.41759;0.521467924;0.015753129;0.346973031;2.68730855;1.326724329;1.216743477;0.109980851;0.109980851;0.196824594;2.577327698;0.228288243;1.401674458;0.132967383;8025.355465;0.204493842;0.775369136;48392;7604.820489;0.187193279;0.157747995;0.477506049;0.041012546;0.597634572;1.187193279;0.842322828;0.744328475;48208.66667;0;0;0.00017122;12.5269784;1;0.000330524;81.7975342;1.035708382;0.00017122;1.000991899;786.6371566;0.002609694;785.8764911;0.999752025;785.6863248;0.002608078;0.002608401;0.18022916;0.004099713;0.084096604;3.758557587;1476.383667
8;398.2613903;206044.9425;2325.195157;19.00243458;0.868689623;3.25945502;3.268123347;8.378387023;3.25945502;0.002778424;-0.205052666;0.935039972;0.374297087;0.289948248;0.995441298;0.953216882;0.277696925;18.31408336;9.076845152;0.009493965;72.3569415;36.62816672;6.01104248;270.4253314;92.6295241;1.00744186;0.000937155;987.1564595;10.30976744;13135.00683;0.010611081;0.001593984;0.424348315;270.6323746;0.000991605;0.193310556;10.07012094;2.906306111;230.5572093;0.214471823;75.78536324;13.42442351;0.0001857;852.25572;0.001744393;1.000082998;852.3881946;0.001744448;0.999972335;12.40881817;2.77E-05;72287.00011;0.99994467;0.999979251;852.2226014;0.001744379;89.75332535;32.01395349;0.029780422;471.655814;0.014699442;101.7627907;28741.93674;1.025444484;0.423325888;210.3626821;0.0071761;0.193310556;7.921410661;75.00262243;201.8111628;0.187731314;0.488411287;5.055232217;-0.08169298;16.13810206;55.12571716;54;20.93286426;17.53137929;6.80330833;26.25371553;10.93286419;-32.5;25.93286441;0.551965594;4.072325579;0.241913663;0.57075011;0.034821624;73.31680898;40.38931216;23.10000034;17.28931181;0.938140622;0.9304082;0.007732422;2.261725044;2.152953138;0.864072263;2.017511129;0.31241506;11848.77155;0.565651178;-0.075946026;0.34789638;2.78312254;1.393277229;0.841311634;0.551965594;0.551965594;0.205598791;2.231156945;0.241913663;1.459688597;0.571568261;7748.014668;0.189469366;0.807150408;44488;7180.410028;0.185779181;0.162053082;0.859781186;0.041085932;0.599775245;1.185779181;0.843327338;0.786736506;44309;0;0;0.000185709;12.4086246;1;0.000718778;75.78774402;1.032727927;0.000185709;1.002157885;855.7205388;0.001745794;852.2762952;0.999460529;851.4152343;0.001744005;0.001744363;0.265746462;0.003960991;0.108351513;3.027816972;1195.824118
9;298.6574304;37677.57966;-266.0445407;8.101833365;0.878175111;2.148771033;2.715689553;3.484616595;2.148771033;0.005259625;-0.236460735;0.939282632;0.451223027;0.376463753;0.996528895;0.958425852;0.349629452;16.41512701;7.977169935;0.014610577;33.25196295;32.83025402;5.476896125;124.9060184;35.08439418;1;0.002375297;428.8578571;4.551068884;2842.942215;0.009840375;0.003479864;0.692928873;239.2038371;0.002864311;0.092915471;8.717676423;1.444767294;189.3752969;0.449822558;35.51821496;13.1880783;0.000223902;534.2267833;0.002658289;1.000101866;534.3031743;0.002658425;0.999966046;12.13128564;3.40E-05;58897.00014;0.999932092;0.999974534;534.2076856;0.002658254;34.58410978;20.75771971;0.049305748;214.4370546;0.021245604;650.4394299;214255.4869;3.320843249;0.333085296;59.50172991;0.010290125;0.092915471;7.347639948;534.6086847;53.85985748;0.127933153;0.370577143;4.549788305;-0.614164406;14.737739;35.31644058;44.5;17.23795218;15.85433673;4.835387762;22.53469533;7.237950325;-47.5;32.23795077;0.363323361;3.738660499;0.175754051;-0.134359998;0.047073591;34.51861903;30.46646745;16.50000025;13.96646721;0.984550872;0.953431913;0.031118958;1.622980132;1.621005153;0.697451949;1.522610426;0.266868314;6051.53699;0.41901046;-0.625254122;0.243089513;1.772779107;1.116597736;0.753274375;0.363323361;0.363323361;0.187669519;1.409455746;0.175754051;1.155675257;-0.134263864;5059.304342;0.088794795;0.79757249;36248;6182.781946;0.170625063;0.171301414;0.87030261;0.041886315;0.623370931;1.170625063;0.854244482;0.781098511;36093;0;0;0.000223917;12.13104745;1;0.000882028;35.5179169;1.014566321;0.000223917;1.002648422;536.2202024;0.002661804;534.2341037;0.999337895;533.737579;0.002657354;0.002658244;0.423437763;0.004758396;0.089745341;1.283486363;326.6815052
10;334.3846635;39955.89743;601.6654235;7.431688771;0.868436162;1.974308367;2.647282738;3.533795188;1.974308367;0.007348967;-0.236591526;0.935939959;0.481519919;0.41529005;0.997735847;0.967463126;0.375043437;17.602751;7.778884239;0.022504818;28.24366049;35.205502;5.359273542;105.5429532;46.97701442;1;0.00120048;625.6380175;12.27731092;13122.58916;0.013920384;0.002200486;0.618721857;274.405587;0.001695923;0.07455473;9.702172685;5.534778617;305.3073229;0.366515394;29.06803145;13.73715808;9.46E-05;664.1175784;0.001814771;1.000041309;664.1550622;0.001814818;0.999986231;13.39221916;1.38E-05;145243.0001;0.999972461;0.999989673;664.1082074;0.001814759;46.07295298;37.77310924;0.045345869;304.6146459;0.008862006;2279.079232;770192.7923;7.711366653;0.342353185;98.55685058;0.00424513;0.07455473;7.781831;2099.171532;115.3121248;0.138429922;0.309350318;4.411734375;0.663352691;15.94664605;45.81734848;138.5;19.71155785;17.20665884;4.101539869;24.53740707;8.711557388;-178.5;26.71155741;0.437894166;2.605049853;0.137146034;0.548613105;0.057359472;28.33310883;32.15788353;13.2000002;18.95788333;0.996061935;0.990333841;0.005728095;1.994410908;1.951800669;0.94613564;1.606590033;0.213945431;18550.55827;0.326820731;0.661391849;0.207337138;2.303049564;1.26001279;0.822118624;0.437894166;0.437894166;0.130945139;1.865155399;0.137146034;1.288527206;0.548749583;14078.1229;0.07267013;0.779535245;89384;12516.21789;0.297079383;0.140423393;0.481454701;0.035912781;0.45824774;1.297079383;0.770962836;0.653460411;89132;0;0;9.46E-05;13.39212313;1;0.000357878;29.06805129;1.056743936;9.46E-05;1.001074018;665.0954915;0.001815986;664.1209242;0.999731496;663.8772824;0.001814456;0.001814762;0.605617367;0.001628638;0.045665467;0.907475037;621.721861
