Key;PET::Histogram::ih.max;PET::Intensity::stat.range;PET::Intensity::stat.max;PET::Intensity::loc.peak.global;PET::GLSZM::szm.sze;PET::Intensity::loc.peak.local;PET::GLCM::cm.diff.var;PET::GLSZM::szm.zsnu.norm;PET::GLSZM::szm.zsnu;PET::GLDZM::dzm.hgze;PET::GLCM::cm.sum.entr;PET::GLCM::cm.joint.entr;PET::Histogram::ih.entropy;PET::GLSZM::szm.hgze;PET::GLDZM::dzm.zd.entr;PET::Intensity::stat.P90;PET::IVHistogram::ivh.I10;PET::GLSZM::szm.szhge;PET::GLCM::cm.diff.entr
10;45.81734848;1.865155399;2.303049564;1.994410908;0.342353185;1.951800669;3.533795188;0.138429922;115.3121248;625.6380175;5.359273542;7.778884239;4.411734375;304.6146459;9.702172685;1.606590033;32.15788353;98.55685058;2.647282738
11;66.28311157;3.237357311;3.343633652;2.668816848;0.554259643;2.668816848;22.44014846;0.299964099;259.1689815;1003.053076;6.565254074;10.18981594;5.572125361;912.8402778;9.754887502;2.31409955;46.37552744;515.5982419;3.901122122
12;56.17112732;2.489736766;2.84090519;2.419765941;0.341287498;2.40825408;6.387293086;0.154122342;132.0828471;712.5733001;5.800454224;8.530309622;4.834486748;433.9101517;9.743151394;1.646852732;32.97336876;145.4131723;2.990630576
13;41.71266556;1.74316895;2.118979216;1.789454768;0.333494611;1.758865034;2.123575926;0.12998067;75.7787307;530.7509596;4.984148447;7.001489476;4.061069615;270.8730703;9.183921541;1.423938036;28.51620551;89.28903271;2.304695799
14;83.1174469;4.313446969;4.166416645;3.087911306;0.429906473;3.023603056;9.945014342;0.191873151;199.5480769;879.1457536;5.869078581;8.58745849;4.904168777;1082.825;10.02236781;1.605371952;32.10939409;540.3085948;3.036503005
15;37.01837921;1.50144136;1.851986289;1.601016285;0.418448788;1.584934626;3.728721749;0.182436611;42.14285714;466.5993607;5.270880906;7.81171579;4.368366473;250.4112554;7.851749041;1.494928479;29.96089883;86.13665457;2.786227111
16;34.4596138;1.271093369;1.739133358;1.481877069;0.330131343;1.468767379;2.917749361;0.141219981;35.44621514;448.8455314;5.064956189;7.276797033;4.148707184;166.5139442;7.971543554;1.400883317;28.06079993;46.6954645;2.511957145
18;127.1933823;5.941024214;6.397480965;5.523748219;0.492782145;5.523748219;24.21693152;0.248021884;543.9119927;2587.513027;6.544477909;9.59848883;5.505193949;1889.618787;11.0986901;2.651509762;53.07913553;1115.292813;3.479021816
19;38.6493187;1.608574867;1.938839197;1.76864412;0.389613309;1.746935433;5.327878406;0.172943163;100.652921;420.4695551;5.409868755;7.873895427;4.503796398;226.6391753;9.184875343;1.557356715;31.20528687;76.76145219;2.767143463
2;72.70266724;3.55264464;3.637246132;3.381126743;0.451335417;3.372600472;13.0059925;0.214991988;904.2563005;1497.385225;6.735504258;10.16583358;5.784248103;1431.882073;12.03347802;2.882925272;57.69203064;613.2799196;3.582222726
